statistic,value,label
ignition_attempts_per_year,0.725,pass3_s4444
fires_per_attempt,0.206896551724138,pass3_s4444
days_active_median,1,pass3_s4444
days_active_p90,11,pass3_s4444
days_active_max,11,pass3_s4444
mean_ros_median_m_min,0.945,pass3_s4444
max_ros_p90_m_min,5,pass3_s4444
mean_intensity_median_kW_m,124,pass3_s4444
max_intensity_p90_kW_m,859.5,pass3_s4444
fraction_cells_passive_crown,0.0211171662125341,pass3_s4444
fraction_cells_active_crown,0,pass3_s4444
canopy_mortality_mean,0.0674659400544959,pass3_s4444
cells_per_fire_day_median,17.5,pass3_s4444
cells_per_fire_day_p90,26.9,pass3_s4444
burn_hours_median,9.15,pass3_s4444
ignition_fwi_median,24.55,pass3_s4444
end_weather,0.333333333333333,pass3_s4444
end_fuel_limited,0,pass3_s4444
end_season_end,0,pass3_s4444
