SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 216, 34.9, 1, 1, 0, 0, 1, 
1, 217, 29.4, 0, 0, 0, 0, 1, 
1, 218, 26.3, 0, 0, 0, 0, 1, 
1, 219, 27.7, 0, 0, 0, 0, 1, 
1, 220, 26.5, 0, 0, 0, 0, 1, 
1, 221, 24.7, 0, 0, 0, 0, 1, 
1, 222, 27.7, 0, 0, 0, 0, 1, 
1, 223, 31.6, 0, 0, 0, 0, 1, 
1, 224, 29, 0, 0, 0, 0, 1, 
1, 225, 10.7, 0, 0, 0, 0, 1, 
1, 310, 0, 0, 0, 1, 0, 0, 
2, 254, 13.3, 0, 0, 1, 1, 0, 
3, 29, 2.5, 0, 0, 1, 0, 0, 
3, 286, 24.8, 0, 0, 1, 1, 1, 
3, 287, 28.6, 0, 0, 0, 0, 1, 
3, 288, 41.1, 0, 0, 0, 0, 1, 
3, 289, 33.1, 0, 0, 0, 0, 1, 
3, 290, 29.7, 0, 0, 0, 0, 1, 
3, 291, 26.4, 0, 0, 0, 0, 1, 
3, 292, 28.9, 0, 0, 0, 0, 1, 
3, 293, 42.8, 0, 0, 0, 0, 1, 
3, 294, 25.3, 0, 0, 0, 0, 1, 
3, 295, 0.2, 0, 0, 0, 0, 1, 
4, 187, 1.8, 0, 0, 1, 0, 0, 
6, 96, 0.4, 0, 0, 1, 0, 0, 
6, 308, 0, 1, 0, 0, 0, 0, 
7, 292, 0, 0, 0, 1, 0, 0, 
8, 63, 0, 0, 0, 1, 0, 0, 
10, 136, 0, 0, 0, 1, 0, 0, 
12, 317, 0, 1, 0, 0, 0, 0, 
14, 121, 0.1, 0, 0, 1, 0, 0, 
14, 149, 7.3, 0, 0, 1, 0, 0, 
15, 226, 19.7, 0, 0, 1, 1, 0, 
15, 275, 0, 0, 0, 1, 0, 0, 
18, 228, 20.4, 0, 0, 1, 0, 0, 
20, 345, 0, 0, 0, 1, 0, 0, 
22, 211, 32.3, 0, 0, 1, 1, 0, 
25, 9, 0, 0, 0, 1, 0, 0, 
25, 267, 15.7, 0, 0, 1, 1, 0, 
28, 149, 0.1, 0, 0, 1, 0, 0, 
31, 21, 0, 0, 0, 1, 0, 0, 
31, 295, 0, 0, 0, 1, 0, 0, 
32, 313, 0.3, 0, 0, 1, 0, 0, 
34, 96, 0, 0, 0, 1, 0, 0, 
38, 46, 0, 0, 0, 1, 0, 0, 
38, 293, 1.3, 0, 0, 1, 0, 0, 
40, 276, 0, 1, 0, 0, 0, 0, 
