statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass3_s4444
active_cells,9346,9346,1,pass3_s4444
cells_per_year_mean,78.2125,9.175,0.117308614351926,pass3_s4444
cells_per_year_median,0,0,,pass3_s4444
cells_per_year_p90,59.8000000000002,3,0.0501672240802674,pass3_s4444
cells_per_year_max,1328,195,0.14683734939759,pass3_s4444
fraction_years_with_fire,0.3875,0.15,0.387096774193548,pass3_s4444
annual_fraction_burned,0.00836855339182538,0.000981703402525144,0.117308614351926,pass3_s4444
rotation_years,119.494965638485,1018.63760217984,8.52452316076294,pass3_s4444
fires_per_year,0.4875,0.15,0.307692307692308,pass3_s4444
fire_size_median,12,21.5,1.79166666666667,pass3_s4444
fire_size_p90,621.400000000001,160,0.257483102671387,pass3_s4444
fire_size_max,1283,195,0.151987529228371,pass3_s4444
fraction_fires_gt10,0.512820512820513,0.5,0.975,pass3_s4444
fraction_fires_gt100,0.17948717948718,0.333333333333333,1.85714285714285,pass3_s4444
