SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
3, 19, 0, 0, 0, 1, 0, 0, 
3, 182, 4.8, 0, 0, 1, 0, 0, 
4, 17, 0, 0, 0, 1, 0, 0, 
4, 233, 27, 0, 0, 1, 0, 0, 
5, 249, 35.8, 1, 0, 0, 0, 0, 
5, 283, 2.9, 0, 0, 1, 0, 0, 
9, 241, 11.3, 0, 0, 1, 0, 0, 
13, 197, 15.4, 0, 0, 1, 1, 0, 
15, 239, 24.4, 1, 1, 0, 0, 0, 
21, 218, 8.1, 0, 0, 1, 0, 0, 
22, 237, 20.4, 0, 0, 1, 1, 1, 
24, 214, 6.1, 0, 0, 1, 1, 0, 
27, 57, 0.2, 0, 0, 1, 0, 0, 
28, 36, 0, 0, 0, 1, 0, 0, 
28, 190, 3.5, 0, 0, 1, 0, 0, 
31, 85, 0, 0, 0, 1, 0, 0, 
34, 96, 3.1, 0, 0, 1, 1, 0, 
35, 191, 9.6, 0, 0, 1, 0, 0, 
36, 233, 19.9, 0, 0, 1, 0, 0, 
37, 2, 3.5, 0, 0, 1, 0, 0, 
37, 272, 0, 1, 0, 0, 0, 0, 
38, 171, 0.1, 1, 0, 0, 0, 0, 
38, 269, 27.2, 0, 0, 1, 1, 1, 
39, 242, 4.8, 0, 0, 1, 1, 0, 
39, 303, 0, 0, 0, 1, 0, 0, 
