statistic,value,label
ignition_attempts_per_year,0.625,pass3_s5555
fires_per_attempt,0.28,pass3_s5555
days_active_median,1,pass3_s5555
days_active_p90,2,pass3_s5555
days_active_max,2,pass3_s5555
mean_ros_median_m_min,1,pass3_s5555
max_ros_p90_m_min,2.846,pass3_s5555
mean_intensity_median_kW_m,117,pass3_s5555
max_intensity_p90_kW_m,391.8,pass3_s5555
fraction_cells_passive_crown,0.0808,pass3_s5555
fraction_cells_active_crown,0,pass3_s5555
canopy_mortality_mean,0.0764,pass3_s5555
cells_per_fire_day_median,1,pass3_s5555
cells_per_fire_day_p90,5,pass3_s5555
burn_hours_median,5,pass3_s5555
ignition_fwi_median,14.9,pass3_s5555
end_weather,0,pass3_s5555
end_fuel_limited,0,pass3_s5555
end_season_end,0,pass3_s5555
