statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass3_s5555
active_cells,9346,9346,1,pass3_s5555
cells_per_year_mean,78.2125,0.625,0.00799105002397315,pass3_s5555
cells_per_year_median,0,0,,pass3_s5555
cells_per_year_p90,59.8000000000002,1,0.0167224080267558,pass3_s5555
cells_per_year_max,1328,13,0.00978915662650602,pass3_s5555
fraction_years_with_fire,0.3875,0.175,0.451612903225806,pass3_s5555
annual_fraction_burned,0.00836855339182538,6.68735287823668e-05,0.00799105002397315,pass3_s5555
rotation_years,119.494965638485,14953.6,125.14,pass3_s5555
fires_per_year,0.4875,0.175,0.358974358974359,pass3_s5555
fire_size_median,12,1,0.0833333333333333,pass3_s5555
fire_size_p90,621.400000000001,9.4,0.015127132281944,pass3_s5555
fire_size_max,1283,13,0.0101325019485581,pass3_s5555
fraction_fires_gt10,0.512820512820513,0.142857142857143,0.278571428571428,pass3_s5555
fraction_fires_gt100,0.17948717948718,0,0,pass3_s5555
