statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.175,0.262973464583779,pass3_s5555
lightning_fires_per_year,0.245861963738911,0.025,0.101683072972395,pass3_s5555
fire_size_median,1,1,1,pass3_s5555
fire_size_p90,1,9.4,9.4,pass3_s5555
fraction_fires_gt10,0.0295566502463054,0.142857142857143,4.83333333333334,pass3_s5555
fraction_fires_gt100,0.0167487684729064,0,0,pass3_s5555
annual_fraction_burned_fpa,0.00255391986643236,6.68735287823668e-05,0.0261846621193265,pass3_s5555
annual_fraction_burned_mtbs,0.003639630975609,6.68735287823668e-05,0.0183737112994477,pass3_s5555
ignition_doy_median,221,237,1.07239819004525,pass3_s5555
ignition_doy_p10,176,156.6,0.889772727272727,pass3_s5555
ignition_doy_p90,265,252.8,0.953962264150943,pass3_s5555
fraction_area_high_severity_mtbs,0.418807906637985,0,0,pass3_s5555
