EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 13, 1996, Accidental, 197, 332, 378, eco14, 14.9, 1, 197, InitialAttack, 1, 0.8, 1.08, 1.08, 128, 128, 0.7, 1, 0, 0, 0.03, 0, 0, 24, 6.9, 35.6, 35.6, 0, 0, 0.72, 54.1, 0, 0, 
2, 15, 1996, Lightning, 239, 328, 388, eco45, 19.4, 1, 239, InitialAttack, 1, 0.8, 0.82, 0.82, 91, 91, 0.6, 1, 0, 0, 0.09, 0, 0, 14, 19.6, 34.9, 34.9, 0, 0, 0.74, 52.5, 0, 0, 
3, 22, 1996, Accidental, 237, 367, 412, eco100, 20.8, 2, 238, Contained, 7, 5.7, 0.97, 2.38, 110, 318, 1.1, 0.86, 0.14, 0, 0.06, 0, 2, 141, 109.3, 291.8, 264.3, 25.9, 1.6, 6.46, 433.8, 238, 21.9, 
4, 24, 1996, Accidental, 214, 338, 353, eco45, 3.9, 1, 214, InitialAttack, 1, 0.8, 1.43, 1.43, 194, 194, 0.9, 1, 0, 0, 0.09, 0, 1, 25, 16.1, 38.9, 38.9, 0, 0, 0.8, 59, 0, 0, 
5, 34, 1996, Accidental, 96, 325, 399, eco40, 3.2, 1, 96, InitialAttack, 1, 0.8, 0.43, 0.43, 62, 62, 0.5, 1, 0, 0, 0.08, 0, 0, 14, 18.4, 43.3, 43.3, 0, 0, 0.91, 65.2, 0, 0, 
6, 38, 1996, Accidental, 269, 401, 435, eco106, 27.4, 2, 270, Contained, 13, 10.5, 1, 2.41, 117, 339, 1.1, 0.92, 0.08, 0, 0.09, 0, 3, 217, 331, 879.5, 656.5, 217.8, 5.2, 20.64, 1287.1, 270, 29.6, 
7, 39, 1996, Accidental, 242, 432, 422, eco106, 6, 1, 242, InitialAttack, 1, 0.8, 3.5, 3.5, 471, 471, 1.3, 1, 0, 0, 0.03, 0, 1, 26, 10.3, 47, 44, 3.1, 0, 1, 70.6, 0, 0, 
