statistic,value
fires_with_perimeters,41
final_ha_median,104.518679017185
final_ha_max,20871.9946315435
days_span_median,1
days_span_max,2541
max_daily_growth_ha_median,78.1433224988596
max_daily_growth_ha_p90,390.760981178417
max_daily_growth_ha_max,20713.0130149096
max_daily_growth_cells_median,96.473237652913
max_daily_growth_cells_max,25571.6210060612
