SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
3, 207, 17.6, 1, 1, 0, 0, 0, 
3, 281, 4.4, 0, 0, 1, 1, 0, 
5, 249, 35.8, 0, 0, 1, 1, 1, 
5, 250, 28.8, 0, 0, 0, 0, 1, 
5, 251, 28.4, 0, 0, 0, 0, 1, 
5, 252, 32.3, 0, 0, 0, 0, 1, 
5, 253, 17.1, 0, 0, 0, 0, 1, 
5, 254, 18.9, 0, 0, 0, 0, 1, 
5, 255, 24.8, 0, 0, 0, 0, 1, 
6, 261, 2.6, 0, 0, 1, 1, 0, 
9, 191, 2.8, 1, 1, 0, 0, 0, 
9, 205, 5.3, 0, 0, 1, 1, 0, 
11, 304, 0, 0, 0, 1, 1, 0, 
12, 172, 0.1, 0, 0, 1, 1, 0, 
15, 148, 0, 1, 1, 0, 0, 0, 
17, 234, 15, 1, 1, 0, 0, 0, 
18, 175, 12.5, 1, 1, 0, 0, 0, 
18, 199, 16.3, 0, 0, 1, 1, 0, 
19, 228, 19.4, 1, 1, 0, 0, 0, 
19, 229, 22.3, 0, 0, 1, 1, 1, 
19, 230, 15.9, 0, 0, 0, 0, 1, 
20, 182, 1.3, 0, 0, 1, 1, 0, 
21, 182, 9.2, 0, 0, 1, 1, 0, 
22, 169, 0.2, 0, 0, 1, 1, 0, 
23, 213, 16.5, 1, 1, 0, 0, 1, 
23, 241, 14.8, 1, 1, 0, 0, 0, 
26, 290, 11.5, 0, 0, 1, 1, 0, 
31, 189, 19.5, 1, 1, 0, 0, 0, 
31, 223, 13.7, 0, 0, 1, 1, 0, 
34, 183, 2, 0, 0, 1, 1, 0, 
38, 261, 6.9, 0, 0, 1, 1, 0, 
38, 271, 32.6, 1, 1, 0, 0, 1, 
40, 280, 23.3, 0, 0, 1, 1, 0, 
