statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass6_s5555
active_cells,9346,9346,1,pass6_s5555
cells_per_year_mean,78.2125,90.975,1.16317724148953,pass6_s5555
cells_per_year_median,0,0,,pass6_s5555
cells_per_year_p90,59.8000000000002,10.4,0.17391304347826,pass6_s5555
cells_per_year_max,1328,3305,2.48870481927711,pass6_s5555
fraction_years_with_fire,0.3875,0.475,1.2258064516129,pass6_s5555
annual_fraction_burned,0.00836855339182538,0.00973411084956131,1.16317724148953,pass6_s5555
rotation_years,119.494965638485,102.731519648255,0.859714207199779,pass6_s5555
fires_per_year,0.4875,0.65,1.33333333333333,pass6_s5555
fire_size_median,12,1,0.0833333333333333,pass6_s5555
fire_size_p90,621.400000000001,60.5,0.0973607981976181,pass6_s5555
fire_size_max,1283,3305,2.57599376461419,pass6_s5555
fraction_fires_gt10,0.512820512820513,0.153846153846154,0.3,pass6_s5555
fraction_fires_gt100,0.17948717948718,0.115384615384615,0.642857142857141,pass6_s5555
