statistic,value,label
ignition_attempts_per_year,0.425,pass6_s6666
fires_per_attempt,1,pass6_s6666
days_active_median,1,pass6_s6666
days_active_p90,1,pass6_s6666
days_active_max,2,pass6_s6666
mean_ros_median_m_min,0,pass6_s6666
max_ros_p90_m_min,4.656,pass6_s6666
mean_intensity_median_kW_m,0,pass6_s6666
max_intensity_p90_kW_m,4383.6,pass6_s6666
fraction_cells_passive_crown,0.705882352941177,pass6_s6666
fraction_cells_active_crown,0,pass6_s6666
canopy_mortality_mean,0.523823529411765,pass6_s6666
cells_per_fire_day_median,1,pass6_s6666
cells_per_fire_day_p90,4.4,pass6_s6666
burn_hours_median,0,pass6_s6666
ignition_fwi_median,7.4,pass6_s6666
end_weather,0,pass6_s6666
end_fuel_limited,0,pass6_s6666
end_season_end,0,pass6_s6666
