statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.425,0.638649842560606,pass6_s6666
lightning_fires_per_year,0.245861963738911,0.225,0.915147656751553,pass6_s6666
fire_size_median,1,1,1,pass6_s6666
fire_size_p90,1,4.4,4.4,pass6_s6666
fraction_fires_gt10,0.0295566502463054,0.0588235294117647,1.99019607843137,pass6_s6666
fraction_fires_gt100,0.0167487684729064,0,0,pass6_s6666
annual_fraction_burned_fpa,0.00255391986643236,0.000181895998288038,0.0712222809645681,pass6_s6666
annual_fraction_burned_mtbs,0.003639630975609,0.000181895998288038,0.0499764947344976,pass6_s6666
ignition_doy_median,221,193,0.873303167420815,pass6_s6666
ignition_doy_p10,176,143,0.8125,pass6_s6666
ignition_doy_p90,265,277.4,1.04679245283019,pass6_s6666
fraction_area_high_severity_mtbs,0.418807906637985,0.394852941176471,0.942802021925004,pass6_s6666
