SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 284, 26, 1, 1, 0, 0, 0, 
3, 145, 0.4, 0, 0, 1, 1, 0, 
10, 146, 2.9, 1, 1, 0, 0, 0, 
10, 269, 14.9, 1, 1, 0, 0, 0, 
15, 181, 0, 1, 1, 0, 0, 0, 
21, 300, 0, 0, 0, 1, 1, 0, 
26, 243, 14.4, 0, 0, 1, 1, 1, 
27, 123, 2.7, 0, 0, 1, 1, 0, 
29, 140, 0, 1, 1, 0, 0, 0, 
29, 222, 18, 0, 0, 1, 1, 0, 
30, 242, 22.5, 1, 1, 0, 0, 0, 
32, 158, 13.9, 1, 1, 0, 0, 0, 
32, 167, 5.3, 0, 0, 1, 1, 0, 
34, 229, 10.5, 1, 1, 0, 0, 0, 
36, 159, 7.3, 0, 0, 1, 1, 0, 
39, 193, 4.7, 0, 0, 1, 1, 0, 
40, 273, 0, 1, 1, 0, 0, 0, 
