statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass6_s6666
active_cells,9346,9346,1,pass6_s6666
cells_per_year_mean,78.2125,1.7,0.021735656065207,pass6_s6666
cells_per_year_median,0,0,,pass6_s6666
cells_per_year_p90,59.8000000000002,2,0.0334448160535116,pass6_s6666
cells_per_year_max,1328,45,0.0338855421686747,pass6_s6666
fraction_years_with_fire,0.3875,0.35,0.903225806451613,pass6_s6666
annual_fraction_burned,0.00836855339182538,0.000181895998288038,0.021735656065207,pass6_s6666
rotation_years,119.494965638485,5497.64705882353,46.0073529411764,pass6_s6666
fires_per_year,0.4875,0.425,0.871794871794872,pass6_s6666
fire_size_median,12,1,0.0833333333333333,pass6_s6666
fire_size_p90,621.400000000001,4.4,0.00708078532346314,pass6_s6666
fire_size_max,1283,45,0.0350740452065472,pass6_s6666
fraction_fires_gt10,0.512820512820513,0.0588235294117647,0.114705882352941,pass6_s6666
fraction_fires_gt100,0.17948717948718,0,0,pass6_s6666
