SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,
1, 1991, 1, 1, 1, 0, 45, 36.5, 36.5, 0.53, 0.8, 284, 284, 1878, 1942, 43.1, 2885, 1, 5.1, 46.9, 
2, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3, 26.5, 
3, 1991, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 145, 145, 0, 13, 0.3, 18, 0, 7.8, 29.6, 
4, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1, 25.5, 
5, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1, 25.6, 
6, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
7, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 19.7, 
8, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 21.3, 
9, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
10, 1991, 2, 2, 2, 0, 6, 4.9, 4.1, 0.33, 0.83, 146, 269, 353, 205, 4, 314, 2, 4, 16.4, 
11, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3, 26.5, 
12, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5, 26.6, 
13, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7, 29.2, 
14, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8, 35.8, 
15, 1991, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 181, 181, 9, 30, 0.6, 45, 0, 3.9, 25.7, 
16, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8, 29.6, 
17, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.1, 30.2, 
18, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5, 43.2, 
19, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8, 35.8, 
20, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
21, 1991, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 300, 300, 27, 40, 0.9, 60, 0, 5.1, 46.9, 
22, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7, 25.9, 
23, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9, 25.7, 
24, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5, 32.5, 
25, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2, 38.2, 
26, 1991, 1, 1, 0, 1, 4, 3.2, 3.2, 0.25, 1, 243, 243, 487, 251, 5, 382, 1, 3.9, 25.7, 
27, 1991, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 123, 123, 7, 33, 0.7, 50, 1, 7.8, 29.6, 
28, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 19.9, 
29, 1991, 2, 2, 1, 1, 2, 1.6, 0.8, 0, 0, 140, 222, 30, 36, 0.8, 54, 1, 4.6, 25.3, 
30, 1991, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 242, 242, 1, 16, 0.4, 23, 1, 5.3, 26.5, 
31, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 21.8, 
32, 1991, 2, 2, 1, 1, 2, 1.6, 0.8, 0, 1, 158, 167, 37, 50, 1, 76, 2, 6.5, 32.5, 
33, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8, 28.5, 
34, 1991, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 229, 229, 0, 6, 0.2, 9, 0, 3.1, 25.6, 
35, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 18.3, 
