EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 1, 1991, Lightning, 284, 379, 346, eco100, 24.4, 1, 284, InitialAttack, 45, 36.5, 5.28, 12.02, 2560, 7632, 4.7, 0.2, 0.8, 0, 0.64, 0.53, 241, 322, 1877.8, 1942.5, 1400.1, 359.7, 182.7, 43.11, 2885, 284, 24.4, 
2, 3, 1991, Accidental, 145, 365, 434, eco100, 0.5, 1, 145, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12.5, 12.5, 0, 0, 0.32, 17.9, 0, 0, 
3, 10, 1991, Lightning, 146, 335, 378, eco14, 4, 1, 146, InitialAttack, 1, 0.8, 0.89, 0.89, 316, 316, 1.1, 1, 0, 0, 0, 0, 1, 11, 2.3, 43.5, 43.5, 0, 0, 0.84, 66.7, 0, 0, 
4, 10, 1991, Lightning, 269, 341, 345, eco125, 14.2, 1, 269, InitialAttack, 5, 4.1, 4.18, 5.97, 2195, 3530, 3.3, 0, 1, 0, 0.68, 0.4, 21, 71, 350.3, 161.5, 112.6, 1.9, 47, 3.14, 247.5, 269, 14.2, 
5, 15, 1991, Lightning, 181, 404, 435, eco106, 0.1, 1, 181, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.02, 0, 0, 20, 8.9, 29.7, 29.7, 0, 0, 0.59, 45.3, 0, 0, 
6, 21, 1991, Accidental, 300, 401, 432, eco106, 0, 1, 300, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.08, 0, 0, 30, 27, 40.4, 36.8, 3.7, 0, 0.9, 60.1, 0, 0, 
7, 26, 1991, Accidental, 243, 388, 422, eco100, 18.1, 2, 244, Contained, 4, 3.2, 2.66, 3.78, 2648, 5664, 4.1, 0, 1, 0, 0.45, 0.25, 6, 83, 487.2, 251.2, 171, 23.4, 56.9, 5.05, 382.2, 243, 18.1, 
8, 27, 1991, Accidental, 123, 347, 368, eco16, 3.5, 1, 123, InitialAttack, 1, 0.8, 1.13, 1.13, 380, 380, 1.2, 1, 0, 0, 0.02, 0, 0, 20, 7.2, 32.8, 32.8, 0, 0, 0.65, 50, 0, 0, 
9, 29, 1991, Lightning, 140, 427, 403, eco14, 0, 1, 140, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 20, 29.8, 29.3, 29.3, 0, 0, 0.62, 44, 0, 0, 
10, 29, 1991, Accidental, 222, 325, 373, eco45, 14.3, 1, 222, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7.1, 7.1, 0.1, 0, 0.18, 10.2, 0, 0, 
11, 30, 1991, Lightning, 242, 379, 356, eco20, 23.4, 1, 242, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.04, 0, 0, 3, 0.7, 16.3, 14.8, 1.5, 0, 0.41, 23.2, 0, 0, 
12, 32, 1991, Lightning, 158, 332, 356, eco45, 12.5, 1, 158, InitialAttack, 1, 0.8, 1.39, 1.39, 224, 224, 0.9, 0, 1, 0, 0.26, 0, 0, 5, 13, 11.3, 9.6, 0, 1.7, 0.24, 17.1, 0, 0, 
13, 32, 1991, Accidental, 167, 373, 428, eco100, 6.6, 1, 167, InitialAttack, 1, 0.8, 0.9, 0.9, 390, 390, 1.2, 0, 1, 0, 0.06, 0, 1, 40, 23.9, 38.6, 34.5, 0, 4.1, 0.76, 59, 0, 0, 
14, 34, 1991, Lightning, 229, 367, 433, eco100, 11.4, 1, 229, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6.4, 6.2, 0.2, 0, 0.17, 9.1, 0, 0, 
15, 36, 1991, Accidental, 159, 339, 370, eco16, 7.6, 1, 159, InitialAttack, 1, 0.8, 2.99, 2.99, 1106, 1106, 1.9, 0, 1, 0, 0.17, 0, 0, 10, 47.5, 22.4, 17, 0, 5.4, 0.42, 34.6, 0, 0, 
16, 39, 1991, Accidental, 193, 427, 433, eco106, 7.4, 1, 193, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.84, 0, 0, 1, 0.2, 5.8, 5.5, 0.3, 0, 0.15, 8.2, 0, 0, 
17, 40, 1991, Lightning, 273, 386, 361, eco20, 0, 1, 273, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.04, 0, 0, 28, 15.5, 25.9, 24.6, 1.3, 0, 0.58, 38.4, 0, 0, 
