statistic,value,label
ignition_attempts_per_year,0.775,pass5_s4444
fires_per_attempt,0.967741935483871,pass5_s4444
days_active_median,1,pass5_s4444
days_active_p90,3.1,pass5_s4444
days_active_max,17,pass5_s4444
mean_ros_median_m_min,0.35,pass5_s4444
max_ros_p90_m_min,16.019,pass5_s4444
mean_intensity_median_kW_m,62,pass5_s4444
max_intensity_p90_kW_m,19695.8,pass5_s4444
fraction_cells_passive_crown,0.835696495285536,pass5_s4444
fraction_cells_active_crown,0.0362871375200142,pass5_s4444
canopy_mortality_mean,0.480576409891478,pass5_s4444
cells_per_fire_day_median,28,pass5_s4444
cells_per_fire_day_p90,303.8,pass5_s4444
burn_hours_median,6.25,pass5_s4444
ignition_fwi_median,15.6,pass5_s4444
end_weather,0,pass5_s4444
end_fuel_limited,0,pass5_s4444
end_season_end,0,pass5_s4444
