SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 242, 38.2, 0, 0, 1, 1, 1, 
5, 193, 0, 1, 1, 0, 0, 0, 
7, 272, 18.5, 1, 1, 0, 0, 0, 
8, 180, 19.1, 0, 0, 1, 1, 1, 
8, 181, 20.5, 0, 0, 0, 0, 1, 
8, 234, 29.1, 1, 1, 0, 0, 1, 
8, 235, 19.4, 0, 0, 0, 0, 1, 
8, 236, 18.9, 0, 0, 0, 0, 1, 
8, 237, 17.1, 0, 0, 0, 0, 1, 
8, 238, 26.6, 0, 0, 0, 0, 1, 
8, 239, 22.6, 0, 0, 0, 0, 1, 
8, 250, 31.2, 1, 1, 0, 0, 1, 
9, 229, 0, 0, 0, 1, 1, 0, 
12, 205, 14.2, 1, 1, 0, 0, 0, 
14, 213, 18.5, 0, 0, 1, 1, 0, 
14, 223, 25.6, 0, 0, 1, 1, 0, 
14, 235, 34.1, 1, 1, 0, 0, 0, 
15, 221, 12.9, 0, 0, 1, 1, 0, 
18, 151, 0.3, 0, 0, 1, 1, 0, 
18, 294, 0, 1, 1, 0, 0, 0, 
19, 185, 0.6, 0, 0, 1, 1, 0, 
21, 230, 22.6, 1, 1, 0, 0, 0, 
21, 243, 19.2, 0, 0, 1, 1, 0, 
21, 257, 24, 1, 1, 0, 0, 1, 
21, 258, 20.8, 0, 0, 0, 0, 1, 
21, 259, 22.2, 0, 0, 0, 0, 1, 
22, 201, 23.5, 1, 1, 0, 0, 1, 
22, 202, 15.3, 0, 0, 1, 1, 2, 
22, 203, 20.1, 0, 0, 0, 0, 1, 
22, 204, 27.7, 0, 0, 0, 0, 1, 
22, 205, 26, 0, 0, 0, 0, 1, 
22, 206, 21.6, 0, 0, 0, 0, 1, 
22, 207, 23.6, 0, 0, 0, 0, 1, 
22, 208, 22.4, 0, 0, 0, 0, 1, 
22, 209, 22.6, 0, 0, 0, 0, 1, 
22, 210, 23.7, 0, 0, 0, 0, 1, 
22, 211, 32.3, 0, 0, 0, 0, 1, 
22, 212, 32.9, 0, 0, 0, 0, 1, 
22, 213, 31.3, 0, 0, 0, 0, 1, 
22, 214, 23.1, 0, 0, 0, 0, 1, 
22, 215, 23.1, 0, 0, 0, 0, 1, 
22, 216, 16.7, 0, 0, 0, 0, 1, 
22, 266, 5.1, 0, 0, 1, 0, 0, 
25, 177, 2.8, 0, 0, 1, 1, 0, 
26, 240, 1.7, 0, 0, 1, 1, 0, 
26, 285, 28.7, 1, 1, 0, 0, 0, 
31, 255, 6.9, 1, 1, 0, 0, 0, 
34, 272, 0, 0, 0, 1, 1, 0, 
35, 242, 0.1, 0, 0, 1, 1, 0, 
35, 262, 18.7, 0, 0, 1, 1, 0, 
35, 300, 1.6, 1, 1, 0, 0, 0, 
36, 227, 16.8, 1, 1, 0, 0, 0, 
37, 135, 2, 0, 0, 1, 1, 0, 
