EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 1, 2017, Accidental, 242, 327, 355, eco45, 32.8, 2, 243, Contained, 197, 159.6, 4.94, 16.73, 2791, 16149, 6.7, 0.13, 0.87, 0, 0.53, 0.51, 1080, 2291, 9658, 9260.9, 6613.5, 1639.1, 1008.4, 200, 13849.7, 243, 26.7, 
2, 5, 2017, Lightning, 193, 428, 417, eco106, 0, 1, 193, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.13, 0, 0, 15, 10.6, 17.2, 17.2, 0, 0, 0.4, 25.1, 0, 0, 
3, 7, 2017, Lightning, 272, 376, 389, eco17, 19.6, 1, 272, InitialAttack, 8, 6.5, 1.38, 3.44, 731, 1972, 2.5, 0.63, 0.38, 0, 0.11, 0, 7, 183, 185.1, 404.3, 308.4, 73.1, 22.9, 8.94, 601.1, 272, 19.6, 
4, 8, 2017, Accidental, 180, 327, 427, eco44, 19.6, 3, 182, Contained, 219, 177.4, 6.03, 25.08, 6549, 46361, 34.3, 0.09, 0.84, 0.08, 0.61, 0.57, 1872, 3064, 31806.2, 9467, 5839.8, 0, 3627.1, 167.36, 14793.7, 181, 20.5, 
5, 8, 2017, Lightning, 234, 412, 432, eco16, 32.4, 7, 240, Contained, 844, 683.6, 3.34, 14.3, 2746, 22808, 16.3, 0.13, 0.87, 0, 0.5, 0.49, 3666, 12675, 61985, 49183.1, 30246.2, 10790.3, 8146.6, 1069.69, 73424.2, 240, 18.5, 
6, 8, 2017, Lightning, 250, 345, 389, eco14, 35.3, 2, 251, Contained, 290, 234.9, 3.56, 15.94, 3388, 19350, 19.2, 0.1, 0.89, 0, 0.42, 0.41, 1463, 5326, 25681.8, 20599.3, 12253.9, 5149.1, 3196.3, 446.5, 30778.1, 250, 35.3, 
7, 9, 2017, Accidental, 229, 334, 368, eco14, 0.1, 1, 229, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.02, 0, 0, 17, 1.3, 36.1, 36.1, 0, 0, 0.9, 51.9, 0, 0, 
8, 12, 2017, Lightning, 205, 363, 430, eco100, 16.7, 1, 205, InitialAttack, 2, 1.6, 1.63, 2.22, 601, 763, 1.6, 0, 1, 0, 0.05, 0, 0, 49, 28.6, 69.6, 65.4, 0, 4.1, 1.42, 105.5, 205, 16.7, 
9, 14, 2017, Accidental, 213, 345, 412, eco12, 27.6, 1, 213, InitialAttack, 164, 132.8, 4.03, 13.81, 4475, 14779, 6.4, 0.09, 0.91, 0, 0.57, 0.55, 1084, 2741, 26272.4, 10772.8, 6720.5, 1340.3, 2712, 215.03, 16412.8, 213, 27.6, 
10, 14, 2017, Accidental, 223, 369, 362, eco100, 28.9, 1, 223, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 21.2, 15.9, 5.2, 0, 0.54, 30.2, 0, 0, 
11, 14, 2017, Lightning, 235, 416, 437, eco16, 37.9, 1, 235, InitialAttack, 35, 28.4, 4.41, 11.21, 2657, 7681, 4.7, 0.09, 0.91, 0, 0.38, 0.34, 80, 505, 1195.1, 1612.2, 1241.7, 198.8, 171.6, 37.25, 2369.3, 235, 37.9, 
12, 15, 2017, Accidental, 221, 368, 428, eco100, 13, 1, 221, InitialAttack, 1, 0.8, 0.46, 0.46, 81, 81, 0.6, 1, 0, 0, 0.05, 0, 0, 16, 8, 18.1, 18.1, 0, 0, 0.4, 26.9, 0, 0, 
13, 18, 2017, Accidental, 151, 386, 426, eco100, 0.3, 1, 151, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.13, 0, 0, 19, 25.1, 21.5, 21.5, 0, 0, 0.47, 32.1, 0, 0, 
14, 18, 2017, Lightning, 294, 322, 395, eco45, 0, 1, 294, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7.5, 7.5, 0, 0, 0.2, 10.7, 0, 0, 
15, 19, 2017, Accidental, 185, 341, 425, eco12, 0.8, 1, 185, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.05, 0, 0, 17, 17.1, 29.4, 29.4, 0, 0, 0.65, 43.8, 0, 0, 
16, 21, 2017, Lightning, 230, 388, 417, eco100, 24, 1, 230, InitialAttack, 27, 21.9, 2.28, 7.64, 1670, 6668, 4.4, 0, 1, 0, 0.38, 0.26, 88, 366, 1950.3, 1112.9, 817.9, 66.5, 228.5, 22.84, 1684.8, 230, 24, 
17, 21, 2017, Accidental, 243, 414, 411, eco16, 22.4, 1, 243, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.72, 0, 0, 1, 1.3, 15.4, 12.2, 3.2, 0, 0.4, 22, 0, 0, 
18, 21, 2017, Lightning, 257, 365, 426, eco16, 27.2, 4, 260, Contained, 85, 68.9, 3.15, 8.31, 2313, 9823, 5.3, 0.12, 0.88, 0, 0.52, 0.42, 360, 1202, 7121.4, 4549.3, 3005.8, 788.1, 755.4, 96.75, 6829.1, 260, 24.7, 
20, 22, 2017, Accidental, 202, 366, 375, eco100, 14.5, 2, 203, Contained, 3, 2.4, 2.04, 3.8, 1503, 2493, 2.8, 0.33, 0.67, 0, 0.59, 0.67, 6, 19, 216.8, 91.3, 58.7, 4.4, 28.1, 1.81, 139.3, 203, 20.7, 
