statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.75,1.12702913393048,pass5_s4444
lightning_fires_per_year,0.245861963738911,0.35,1.42356302161353,pass5_s4444
fire_size_median,1,1,1,pass5_s4444
fire_size_p90,1,226.1,226.1,pass5_s4444
fraction_fires_gt10,0.0295566502463054,0.3,10.15,pass5_s4444
fraction_fires_gt100,0.0167487684729064,0.2,11.9411764705882,pass5_s4444
annual_fraction_burned_fpa,0.00255391986643236,0.0150358442114274,5.88735943090937,pass5_s4444
annual_fraction_burned_mtbs,0.003639630975609,0.0150358442114274,4.13114524856781,pass5_s4444
ignition_doy_median,221,232,1.04977375565611,pass5_s4444
ignition_doy_p10,176,179.7,1.02102272727273,pass5_s4444
ignition_doy_p90,265,273.3,1.03132075471698,pass5_s4444
fraction_area_high_severity_mtbs,0.418807906637985,0.432926525529265,1.03371144304466,pass5_s4444
