statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass5_s4444
active_cells,9346,9346,1,pass5_s4444
cells_per_year_mean,78.2125,140.525,1.79670768739012,pass5_s4444
cells_per_year_median,0,0,,pass5_s4444
cells_per_year_p90,59.8000000000002,121.4,2.03010033444816,pass5_s4444
cells_per_year_max,1328,3732,2.81024096385542,pass5_s4444
fraction_years_with_fire,0.3875,0.475,1.2258064516129,pass5_s4444
annual_fraction_burned,0.00836855339182538,0.0150358442114274,1.79670768739012,pass5_s4444
rotation_years,119.494965638485,66.507738836506,0.556573563422878,pass5_s4444
fires_per_year,0.4875,0.75,1.53846153846154,pass5_s4444
fire_size_median,12,1,0.0833333333333333,pass5_s4444
fire_size_p90,621.400000000001,226.1,0.363855809462504,pass5_s4444
fire_size_max,1283,3729,2.90646921278254,pass5_s4444
fraction_fires_gt10,0.512820512820513,0.3,0.585,pass5_s4444
fraction_fires_gt100,0.17948717948718,0.2,1.11428571428571,pass5_s4444
