SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,
1, 2017, 1, 1, 0, 1, 197, 159.6, 159.6, 0.51, 0.87, 242, 242, 9658, 9261, 200, 13850, 1, 9.2, 38.2, 
2, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
3, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.8, 42.8, 
4, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 19.7, 
5, 2017, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 193, 193, 11, 17, 0.4, 25, 0, 4.4, 18.3, 
6, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.1, 30.2, 
7, 2017, 1, 1, 1, 0, 8, 6.5, 6.5, 0, 0.38, 272, 272, 185, 404, 8.9, 601, 1, 7.9, 29, 
8, 2017, 3, 3, 2, 1, 1353, 1095.9, 683.6, 0.49, 0.89, 180, 250, 119473, 79249, 1683.5, 118996, 3, 9.6, 33.7, 
9, 2017, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 229, 229, 1, 36, 0.9, 52, 0, 4.4, 25.2, 
10, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 25.3, 
11, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 21.3, 
12, 2017, 1, 1, 1, 0, 2, 1.6, 1.6, 0, 1, 205, 205, 29, 70, 1.4, 105, 1, 6.1, 25.5, 
13, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 17.4, 
14, 2017, 3, 3, 1, 2, 200, 162, 132.8, 0.52, 0.91, 213, 235, 27467, 12406, 252.8, 18812, 3, 6.8, 34.1, 
15, 2017, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 221, 221, 8, 18, 0.4, 27, 1, 2.5, 19.7, 
16, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
17, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5, 43.2, 
18, 2017, 2, 2, 1, 1, 2, 1.6, 0.8, 0, 0, 151, 294, 25, 29, 0.7, 43, 0, 4.5, 30.5, 
19, 2017, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 185, 185, 17, 29, 0.6, 44, 0, 2.8, 14.2, 
20, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5, 30.5, 
21, 2017, 3, 3, 2, 1, 113, 91.5, 68.9, 0.38, 0.9, 230, 257, 9073, 5678, 120, 8536, 3, 6.5, 43.2, 
22, 2017, 3, 2, 1, 1, 3732, 3022.9, 3020.5, 0.41, 0.87, 201, 202, 425289, 207686, 4157.4, 316213, 2, 9.6, 33.7, 
23, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5, 43.2, 
24, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8, 14.2, 
25, 2017, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 177, 177, 0, 25, 0.6, 35, 0, 6.1, 25.5, 
26, 2017, 2, 2, 1, 1, 2, 1.6, 0.8, 0, 0, 240, 285, 16, 87, 2.2, 125, 1, 5.1, 46.9, 
27, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 17.4, 
28, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9, 29, 
29, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8, 29.6, 
30, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8, 28.5, 
31, 2017, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 255, 255, 2, 9, 0.2, 13, 0, 7.9, 29, 
32, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
33, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 19.9, 
34, 2017, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 272, 272, 0, 5, 0.1, 7, 0, 2.8, 14.2, 
35, 2017, 3, 3, 1, 2, 3, 2.4, 0.8, 0, 0.33, 242, 300, 67, 75, 1.6, 114, 2, 4.5, 30.5, 
36, 2017, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 1, 227, 227, 68, 35, 0.7, 54, 1, 4.5, 30.5, 
37, 2017, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 135, 135, 2, 17, 0.4, 26, 1, 4.4, 18.3, 
38, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9, 25.7, 
39, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 17.4, 
40, 2017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 19.7, 
