SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,seed
3,154,5.4,0,0,1,1,0,3333
4,219,19.1,1,1,0,0,0,3333
7,235,19,1,1,0,0,1,3333
8,257,9.2,0,0,1,1,0,3333
9,229,23.6,1,1,0,0,1,3333
9,230,30.5,0,0,0,0,1,3333
9,231,3.9,0,0,0,0,1,3333
10,198,12.3,1,1,0,0,0,3333
10,209,26.6,0,0,1,1,1,3333
13,175,1.3,1,1,0,0,0,3333
13,212,25.9,0,0,1,1,1,3333
13,213,31.3,0,0,0,0,1,3333
13,214,24.2,0,0,0,0,1,3333
13,215,25.9,0,0,0,0,1,3333
13,216,25.1,0,0,0,0,1,3333
13,217,12.6,0,0,0,0,1,3333
18,210,0,0,0,1,1,0,3333
21,240,13.2,1,1,0,0,0,3333
21,253,23.6,1,1,0,0,0,3333
21,255,25.7,1,1,0,0,0,3333
22,240,6.1,0,0,1,1,0,3333
27,289,0.1,0,0,1,1,0,3333
29,266,10.3,0,0,1,1,0,3333
30,156,3.1,0,0,1,1,0,3333
30,231,17.5,1,1,0,0,0,3333
31,291,12.7,1,1,0,0,0,3333
32,299,0.2,0,0,1,1,0,3333
33,207,0,0,0,1,1,0,3333
34,215,2.2,0,0,1,1,0,3333
35,232,20.9,0,0,1,1,1,3333
35,300,0,1,1,0,0,0,3333
36,220,0.9,0,0,1,1,0,3333
36,255,7,1,1,0,0,0,3333
40,213,10.6,0,0,1,1,0,3333
41,242,38.2,0,0,1,1,1,4444
45,193,0,1,1,0,0,0,4444
47,272,18.5,1,1,0,0,0,4444
48,180,19.1,0,0,1,1,1,4444
48,181,20.5,0,0,0,0,1,4444
48,234,29.1,1,1,0,0,1,4444
48,235,19.4,0,0,0,0,1,4444
48,236,18.9,0,0,0,0,1,4444
48,237,17.1,0,0,0,0,1,4444
48,238,26.6,0,0,0,0,1,4444
48,239,22.6,0,0,0,0,1,4444
48,250,31.2,1,1,0,0,1,4444
49,229,0,0,0,1,1,0,4444
52,205,14.2,1,1,0,0,0,4444
54,213,18.5,0,0,1,1,0,4444
54,223,25.6,0,0,1,1,0,4444
54,235,34.1,1,1,0,0,0,4444
55,221,12.9,0,0,1,1,0,4444
58,151,0.3,0,0,1,1,0,4444
58,294,0,1,1,0,0,0,4444
59,185,0.6,0,0,1,1,0,4444
61,230,22.6,1,1,0,0,0,4444
61,243,19.2,0,0,1,1,0,4444
61,257,24,1,1,0,0,1,4444
61,258,20.8,0,0,0,0,1,4444
61,259,22.2,0,0,0,0,1,4444
62,201,23.5,1,1,0,0,1,4444
62,202,15.3,0,0,1,1,2,4444
62,203,20.1,0,0,0,0,1,4444
62,204,27.7,0,0,0,0,1,4444
62,205,26,0,0,0,0,1,4444
62,206,21.6,0,0,0,0,1,4444
62,207,23.6,0,0,0,0,1,4444
62,208,22.4,0,0,0,0,1,4444
62,209,22.6,0,0,0,0,1,4444
62,210,23.7,0,0,0,0,1,4444
62,211,32.3,0,0,0,0,1,4444
62,212,32.9,0,0,0,0,1,4444
62,213,31.3,0,0,0,0,1,4444
62,214,23.1,0,0,0,0,1,4444
62,215,23.1,0,0,0,0,1,4444
62,216,16.7,0,0,0,0,1,4444
62,266,5.1,0,0,1,0,0,4444
65,177,2.8,0,0,1,1,0,4444
66,240,1.7,0,0,1,1,0,4444
66,285,28.7,1,1,0,0,0,4444
71,255,6.9,1,1,0,0,0,4444
74,272,0,0,0,1,1,0,4444
75,242,0.1,0,0,1,1,0,4444
75,262,18.7,0,0,1,1,0,4444
75,300,1.6,1,1,0,0,0,4444
76,227,16.8,1,1,0,0,0,4444
77,135,2,0,0,1,1,0,4444
83,207,17.6,1,1,0,0,0,5555
83,281,4.4,0,0,1,1,0,5555
85,249,35.8,0,0,1,1,1,5555
85,250,28.8,0,0,0,0,1,5555
85,251,28.4,0,0,0,0,1,5555
85,252,32.3,0,0,0,0,1,5555
85,253,17.1,0,0,0,0,1,5555
85,254,18.9,0,0,0,0,1,5555
85,255,24.8,0,0,0,0,1,5555
85,256,34.9,0,0,0,0,1,5555
85,257,17.5,0,0,0,0,1,5555
85,258,0.1,0,0,0,0,1,5555
90,215,20,1,1,0,0,1,5555
91,215,20.3,0,0,1,1,0,5555
92,180,0,0,0,1,1,0,5555
93,222,27.7,0,0,1,1,0,5555
93,260,25.4,1,1,0,0,0,5555
94,203,15.5,0,0,1,1,0,5555
97,199,6.9,1,1,0,0,0,5555
97,280,1.7,0,0,1,1,0,5555
99,209,17.3,1,1,0,0,0,5555
99,212,22.3,1,1,0,0,0,5555
100,235,34.1,1,1,0,0,1,5555
101,179,8.2,1,1,0,0,1,5555
102,213,9.6,0,0,1,1,0,5555
103,215,12,0,0,1,1,0,5555
106,266,18.6,1,1,0,0,0,5555
107,197,13.9,0,0,1,1,0,5555
109,253,41,1,1,0,0,1,5555
109,254,30.5,0,0,0,0,1,5555
109,255,26.7,0,0,0,0,1,5555
111,182,15.9,1,1,0,0,0,5555
112,244,17.1,0,0,1,1,0,5555
113,233,2.3,1,1,0,0,0,5555
114,178,2.8,1,1,0,0,1,5555
114,201,11.8,0,0,1,1,0,5555
114,281,0,0,0,1,1,0,5555
115,230,29.4,1,1,0,0,1,5555
118,222,25.7,1,1,0,0,0,5555
118,243,30.7,1,1,0,0,0,5555
118,253,41,1,1,0,0,1,5555
118,254,30.5,0,0,0,0,1,5555
119,228,12.3,1,1,0,0,0,5555
121,284,26,1,1,0,0,1,6666
121,285,28.7,0,0,0,0,1,6666
121,286,19.7,0,0,0,0,1,6666
121,289,46.9,0,0,1,1,0,6666
122,242,22.5,1,1,0,0,1,6666
122,243,19.3,0,0,0,0,1,6666
132,238,0,0,0,1,1,0,6666
132,247,13,1,1,0,0,0,6666
132,250,20.4,1,1,0,0,1,6666
132,292,0,1,1,0,0,0,6666
133,212,14.5,0,0,1,1,0,6666
135,213,3.6,1,1,0,0,0,6666
136,257,9.7,0,0,1,1,0,6666
137,217,30.2,0,0,1,1,0,6666
138,220,9.3,0,0,1,1,1,6666
139,189,5.2,1,1,0,0,0,6666
142,248,7.8,1,1,0,0,0,6666
145,218,26.3,0,0,1,1,0,6666
145,249,31.6,1,1,0,0,0,6666
147,188,23.9,0,0,1,1,0,6666
148,142,0.3,0,0,1,1,0,6666
149,203,9,1,1,0,0,0,6666
149,222,18,0,0,1,1,0,6666
150,241,21.5,1,1,0,0,1,6666
150,242,22.5,0,0,0,0,1,6666
150,243,19.3,0,0,0,0,1,6666
150,244,22.3,0,0,0,0,1,6666
150,245,26.5,0,0,0,0,1,6666
150,246,22.1,0,0,0,0,1,6666
150,247,21,0,0,0,0,1,6666
150,248,21.3,0,0,0,0,1,6666
150,249,22.3,0,0,0,0,1,6666
150,250,26,0,0,0,0,1,6666
150,251,22.8,0,0,0,0,1,6666
152,273,0,1,1,0,0,0,6666
157,223,25.6,0,0,1,1,0,6666
158,157,10.6,0,0,1,1,0,6666
158,241,17.7,0,0,1,1,0,6666
158,250,31.2,1,1,0,0,1,6666
158,251,4.4,0,0,0,0,1,6666
159,245,8.7,0,0,1,1,0,6666
