statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.71875,1.08006958668338,pass5_pooled
lightning_fires_per_year,0.245861963738911,0.35625,1.44898378985663,pass5_pooled
fire_size_median,1,1,1,pass5_pooled
fire_size_p90,1,210.2,210.2,pass5_pooled
fraction_fires_gt10,0.0295566502463054,0.260869565217391,8.82608695652174,pass5_pooled
fraction_fires_gt100,0.0167487684729064,0.147826086956522,8.82608695652174,pass5_pooled
annual_fraction_burned_fpa,0.00255391986643236,0.0103393162850417,4.04841061026907,pass5_pooled
annual_fraction_burned_mtbs,0.003639630975609,0.0103393162850417,2.8407595040076,pass5_pooled
ignition_doy_median,221,230,1.04072398190045,pass5_pooled
ignition_doy_p10,176,180.8,1.02727272727273,pass5_pooled
ignition_doy_p90,265,280.6,1.0588679245283,pass5_pooled
fraction_area_high_severity_mtbs,0.418807906637985,0.448472931893151,1.07083205637951,pass5_pooled
