SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,seed
29,2020,1,1,0,1,1,0.8,0.8,0,0,266,266,14,44,1,65,1,4.6,25.3,3333
30,2020,2,2,1,1,2,1.6,0.8,0,0.5,156,231,143,102,2.1,154,2,9.2,38.2,3333
31,2020,1,1,1,0,1,0.8,0.8,0,0,291,291,4,73,1.8,104,1,6.8,28.5,3333
32,2020,1,1,0,1,1,0.8,0.8,0,0,299,299,13,28,0.6,43,0,4.6,21.8,3333
33,2020,1,1,0,1,1,0.8,0.8,0,0,207,207,0,5,0.1,7,0,2.7,25.9,3333
34,2020,1,1,0,1,1,0.8,0.8,0,1,215,215,48,53,1.1,80,1,3.7,16.6,3333
35,2020,2,2,1,1,4,3.2,2.4,0,0.5,232,300,70,255,5.9,375,1,11.8,42.8,3333
36,2020,2,2,1,1,2,1.6,0.8,0,0,220,255,35,78,1.7,116,0,3.7,21.3,3333
37,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,42.8,3333
38,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,29,3333
39,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,3333
40,2020,1,1,0,1,1,0.8,0.8,0,0,213,213,13,44,1,64,1,4.6,21.8,3333
41,2017,1,1,0,1,197,159.6,159.6,0.51,0.87,242,242,9658,9261,200,13850,1,9.2,38.2,4444
42,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,4444
43,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,42.8,4444
44,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,19.7,4444
45,2017,1,1,1,0,1,0.8,0.8,0,0,193,193,11,17,0.4,25,0,4.4,18.3,4444
46,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,30.2,4444
47,2017,1,1,1,0,8,6.5,6.5,0,0.38,272,272,185,404,8.9,601,1,7.9,29,4444
48,2017,3,3,2,1,1353,1095.9,683.6,0.49,0.89,180,250,119473,79249,1683.5,118996,3,9.6,33.7,4444
49,2017,1,1,0,1,1,0.8,0.8,0,0,229,229,1,36,0.9,52,0,4.4,25.2,4444
50,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,25.3,4444
51,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,21.3,4444
52,2017,1,1,1,0,2,1.6,1.6,0,1,205,205,29,70,1.4,105,1,6.1,25.5,4444
53,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,4444
54,2017,3,3,1,2,200,162,132.8,0.52,0.91,213,235,27467,12406,252.8,18812,3,6.8,34.1,4444
55,2017,1,1,0,1,1,0.8,0.8,0,0,221,221,8,18,0.4,27,1,2.5,19.7,4444
56,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,4444
57,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,43.2,4444
58,2017,2,2,1,1,2,1.6,0.8,0,0,151,294,25,29,0.7,43,0,4.5,30.5,4444
59,2017,1,1,0,1,1,0.8,0.8,0,0,185,185,17,29,0.6,44,0,2.8,14.2,4444
60,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,30.5,4444
61,2017,3,3,2,1,113,91.5,68.9,0.38,0.9,230,257,9073,5678,120,8536,3,6.5,43.2,4444
62,2017,3,2,1,1,3732,3022.9,3020.5,0.41,0.87,201,202,425289,207686,4157.4,316213,2,9.6,33.7,4444
63,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,43.2,4444
64,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,14.2,4444
65,2017,1,1,0,1,1,0.8,0.8,0,0,177,177,0,25,0.6,35,0,6.1,25.5,4444
66,2017,2,2,1,1,2,1.6,0.8,0,0,240,285,16,87,2.2,125,1,5.1,46.9,4444
67,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,4444
68,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,29,4444
69,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,29.6,4444
70,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,28.5,4444
71,2017,1,1,1,0,1,0.8,0.8,0,0,255,255,2,9,0.2,13,0,7.9,29,4444
72,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,4444
73,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,4444
74,2017,1,1,0,1,1,0.8,0.8,0,0,272,272,0,5,0.1,7,0,2.8,14.2,4444
75,2017,3,3,1,2,3,2.4,0.8,0,0.33,242,300,67,75,1.6,114,2,4.5,30.5,4444
76,2017,1,1,1,0,1,0.8,0.8,0,1,227,227,68,35,0.7,54,1,4.5,30.5,4444
77,2017,1,1,0,1,1,0.8,0.8,0,0,135,135,2,17,0.4,26,1,4.4,18.3,4444
78,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,25.7,4444
79,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,4444
80,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,19.7,4444
81,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,21.3,5555
82,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,21.8,5555
83,1996,2,2,1,1,10,8.1,7.3,0.1,0.9,207,281,534,296,5.8,453,1,4.8,35.8,5555
84,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,44.5,5555
85,1996,1,1,0,1,3338,2703.8,2703.8,0.42,0.9,249,249,270941,198901,4286.2,297614,0,9.1,44.5,5555
86,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,26.6,5555
87,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,25.5,5555
88,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,25.6,5555
89,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,22.5,5555
90,1996,1,1,1,0,34,27.5,27.5,0.18,0.62,215,215,1276,1658,35.5,2485,1,7.1,30.2,5555
91,1996,1,1,0,1,1,0.8,0.8,0,0,215,215,0,15,0.4,22,1,4,22.8,5555
92,1996,1,1,0,1,1,0.8,0.8,0,0,180,180,29,24,0.5,37,0,3.7,22.5,5555
93,1996,2,2,1,1,79,64,41.3,0.3,0.91,222,260,5197,3596,75.4,5416,2,9.2,38.2,5555
94,1996,1,1,0,1,1,0.8,0.8,0,0,203,203,0,17,0.4,24,1,6.5,32.5,5555
95,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,25.6,5555
96,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,5555
97,1996,2,2,1,1,2,1.6,0.8,0,0,199,280,33,42,0.9,63,0,4.7,29.2,5555
98,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,29.6,5555
99,1996,2,2,2,0,16,13,12.2,0.13,0.63,209,212,830,877,19.5,1302,2,6.8,34.1,5555
100,1996,1,1,1,0,153,123.9,123.9,0.33,0.88,235,235,10921,10174,221,15194,1,6.8,34.1,5555
101,1996,1,1,1,0,1,0.8,0.8,0,0,179,179,3,15,0.3,23,0,4,22.8,5555
102,1996,1,1,0,1,1,0.8,0.8,0,1,213,213,79,34,0.6,53,1,3.7,21.3,5555
103,1996,1,1,0,1,1,0.8,0.8,0,1,215,215,15,43,0.9,65,1,4.6,25.3,5555
104,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,19.7,5555
105,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26.5,5555
106,1996,1,1,1,0,1,0.8,0.8,0,0,266,266,4,26,0.6,38,1,6.8,28.5,5555
107,1996,1,1,0,1,1,0.8,0.8,0,1,197,197,30,13,0.3,19,1,3.1,23.3,5555
108,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,5555
109,1996,1,1,1,0,281,227.6,227.6,0.25,0.82,253,253,28340,20389,440.1,30496,1,11.8,42.8,5555
110,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,5555
111,1996,1,1,1,0,1,0.8,0.8,0,0,182,182,9,21,0.4,32,1,7.8,29.6,5555
112,1996,1,1,0,1,20,16.2,16.2,0.15,0.95,244,244,2038,1130,23.3,1709,1,7.9,29,5555
113,1996,1,1,1,0,1,0.8,0.8,0,0,233,233,14,43,1,64,0,3.7,19.9,5555
114,1996,3,3,1,2,3,2.4,0.8,0,0.33,178,281,61,71,1.4,107,0,3.1,23.3,5555
115,1996,1,1,1,0,86,69.7,69.7,0.72,0.98,230,230,14915,5940,118.5,9051,1,6.5,32.5,5555
116,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,5555
117,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,5555
118,1996,3,3,3,0,21,17,15.4,0.19,0.57,222,253,1211,1045,22.8,1558,3,11.8,42.8,5555
119,1996,1,1,1,0,1,0.8,0.8,0,1,228,228,14,40,0.9,60,1,3.7,16.6,5555
120,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,29,5555
121,1991,2,2,1,1,172,139.3,115.8,0.38,0.54,284,289,6096,7571,169.4,11221,2,5.1,46.9,6666
122,1991,1,1,1,0,479,388,388,0.27,0.81,242,242,28830,22048,472,33045,1,5.3,26.5,6666
123,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,29.6,6666
124,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,25.5,6666
125,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,25.6,6666
126,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,6666
127,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,19.7,6666
128,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,21.3,6666
129,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,6666
130,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.4,6666
131,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26.5,6666
132,1991,4,4,3,1,433,350.7,348.3,0.63,0.94,238,292,46542,18843,361.2,28965,2,5.5,26.6,6666
133,1991,1,1,0,1,4,3.2,3.2,0,0.75,212,212,230,168,3.5,255,1,4.7,29.2,6666
134,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,6666
135,1991,1,1,1,0,1,0.8,0.8,0,1,213,213,18,27,0.6,42,1,3.9,25.7,6666
136,1991,1,1,0,1,1,0.8,0.8,1,1,257,257,141,42,0.8,65,1,7.8,29.6,6666
137,1991,1,1,0,1,58,47,47,0.95,1,217,217,8070,3083,59.1,4739,1,7.1,30.2,6666
138,1991,1,1,0,1,1,0.8,0.8,0,1,220,220,2,45,0.9,68,0,6.5,43.2,6666
139,1991,1,1,1,0,1,0.8,0.8,0,1,189,189,56,33,0.6,51,1,4.8,35.8,6666
140,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,6666
141,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,46.9,6666
142,1991,1,1,1,0,1,0.8,0.8,0,0,248,248,14,36,0.7,54,1,2.7,25.9,6666
143,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,25.7,6666
144,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,32.5,6666
145,1991,2,2,1,1,2,1.6,0.8,0,0,218,249,0,60,1.6,86,2,9.2,38.2,6666
146,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,25.7,6666
147,1991,1,1,0,1,112,90.7,90.7,0.64,0.95,188,188,19973,6183,112.4,9608,1,7.8,29.6,6666
148,1991,1,1,0,1,1,0.8,0.8,0,0,142,142,18,20,0.4,31,0,3.7,19.9,6666
149,1991,2,2,1,1,2,1.6,0.8,0,0.5,203,222,30,58,1.2,89,2,4.6,25.3,6666
150,1991,1,1,1,0,1638,1326.8,1326.8,0.47,0.9,241,241,228082,108356,2210.4,164268,1,5.3,26.5,6666
151,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,21.8,6666
152,1991,1,1,1,0,1,0.8,0.8,0,0,273,273,23,26,0.5,39,0,6.5,32.5,6666
153,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,28.5,6666
154,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,25.6,6666
155,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,18.3,6666
156,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,21.3,6666
157,1991,1,1,0,1,20,16.2,16.2,0.25,0.85,223,223,1295,1522,34.9,2241,1,6.8,34.1,6666
158,1991,3,3,1,2,272,220.3,215.5,0.47,0.93,157,250,43878,24419,527.4,36519,2,9.6,33.7,6666
159,1991,1,1,0,1,1,0.8,0.8,0,1,245,245,41,76,1.8,112,1,6.8,34.1,6666
160,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,21.8,6666
