EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,seed
1,3,154,5.9,0,1,0.8,0,0,no,3333
2,4,219,15.2,2.7,10,8.1,4.54,5924,no,3333
3,7,235,16.1,3.2,1,0.8,0,0,no,3333
4,8,257,11.1,0,1,0.8,0,0,no,3333
5,9,229,21.3,6,38,30.8,16.06,25738,no,3333
5,9,230,27.2,9.2,306,278.6,38.47,58931,yes,3333
6,10,198,15.3,2.8,1,0.8,0,0,no,3333
7,10,209,25.9,8.4,1,0.8,0,0,no,3333
7,10,210,16.5,3.4,7,6.5,3.22,5065,yes,3333
8,13,175,1.6,0,1,0.8,0,0,no,3333
9,13,212,31.2,11.3,333,269.7,26.94,47909,no,3333
9,13,213,36.8,14.3,746,874,38.8,57622,yes,3333
9,13,214,26.8,8.9,329,1140.5,20.45,34644,yes,3333
9,13,215,28.1,9.6,297,1381.1,33.01,55216,yes,3333
9,13,216,29.4,10.3,487,1775.5,19.31,25634,yes,3333
9,13,217,13.4,1.7,4,1778.8,2.21,2186,yes,3333
9,13,218,13.2,1.6,2,1780.4,1.65,1869,yes,3333
10,18,210,0,0,1,0.8,0,0,no,3333
11,21,240,15.5,2.9,1,0.8,0,0,no,3333
12,21,253,20.9,5.8,1,0.8,0,0,no,3333
13,21,255,32.9,12.2,2,1.6,0.7,233,no,3333
14,22,240,6.3,0,1,0.8,0,0,no,3333
15,27,289,0.1,0,1,0.8,0,0,no,3333
16,29,266,8.5,0,1,0.8,0,0,no,3333
17,30,156,4.7,0,1,0.8,0,0,no,3333
18,30,231,19.7,5.1,1,0.8,0,0,no,3333
19,31,291,13,1.5,1,0.8,0,0,no,3333
20,32,299,0.2,0,1,0.8,0,0,no,3333
21,33,207,0,0,1,0.8,0,0,no,3333
22,34,215,5.5,0,1,0.8,0,0,no,3333
23,35,232,23.3,7,3,2.4,1.97,1745,no,3333
24,35,300,0,0,1,0.8,0,0,no,3333
25,36,220,0.8,0,1,0.8,0,0,no,3333
26,36,255,1.8,0,1,0.8,0,0,no,3333
27,40,213,8.5,0,1,0.8,0,0,no,3333
28,41,242,32.8,12.2,123,99.6,16.73,10960,no,4444
28,41,243,26.7,8.9,74,159.6,12.53,16149,yes,4444
29,45,193,0,0,1,0.8,0,0,no,4444
30,47,272,19.6,5.1,8,6.5,2.38,1405,no,4444
31,48,180,19.6,5.1,50,40.5,25.08,46361,no,4444
31,48,181,20.5,5.6,169,177.4,18.84,23808,yes,4444
32,48,234,32.4,11.9,348,281.9,14.3,22808,no,4444
32,48,235,21.7,6.2,51,323.2,4.41,3832,yes,4444
32,48,236,21.3,6,29,346.7,5.49,4955,yes,4444
32,48,237,18.9,4.7,17,360.5,2.57,1999,yes,4444
32,48,238,29.5,10.4,201,523.3,12.42,11110,yes,4444
32,48,239,25.4,8.2,187,674.7,7.29,7162,yes,4444
32,48,240,18.5,4.5,11,683.6,1.57,708,yes,4444
33,48,250,35.3,13.5,290,234.9,15.94,19350,no,4444
34,49,229,0.1,0,1,0.8,0,0,no,4444
35,52,205,16.7,3.5,2,1.6,2.22,763,no,4444
36,54,213,27.6,9.4,164,132.8,13.81,14779,no,4444
37,54,223,28.9,10.1,1,0.8,0,0,no,4444
38,54,235,37.9,14.8,35,28.4,11.21,7681,no,4444
39,55,221,13,1.5,1,0.8,0,0,no,4444
40,58,151,0.3,0,1,0.8,0,0,no,4444
41,58,294,0,0,1,0.8,0,0,no,4444
42,59,185,0.8,0,1,0.8,0,0,no,4444
43,61,230,24,7.5,27,21.9,7.64,6668,no,4444
44,61,243,22.4,6.6,1,0.8,0,0,no,4444
45,61,257,27.2,9.1,27,21.9,8.31,7734,no,4444
45,61,258,23.7,7.3,7,27.5,4.36,1763,yes,4444
45,61,259,25.6,8.3,22,45.4,7.62,9823,yes,4444
45,61,260,24.7,7.8,29,68.9,5.66,5535,yes,4444
46,62,201,25.5,8.2,51,41.3,11.86,12648,no,4444
46,62,202,17.5,3.9,32,67.2,4.76,6293,yes,4444
47,62,202,14.5,2.3,1,0.8,0,0,no,4444
46,62,203,21.2,5.9,80,132,9.89,21379,yes,4444
47,62,203,20.7,5.7,2,2.4,3.8,2493,yes,4444
46,62,204,27.8,9.4,336,404.2,29.87,55247,yes,4444
46,62,205,26,8.5,463,779.2,28.06,49875,yes,4444
46,62,206,21.9,6.3,142,894.2,11.43,12190,yes,4444
46,62,207,23.6,7.2,166,1028.7,11.08,11080,yes,4444
46,62,208,22.8,6.8,144,1145.3,14.02,23664,yes,4444
46,62,209,22.4,6.6,130,1250.6,16.19,31289,yes,4444
46,62,210,24.9,7.9,97,1329.2,5.32,5095,yes,4444
46,62,211,34.1,12.9,364,1624.1,23.36,42151,yes,4444
46,62,212,35.1,13.4,485,2016.9,27.35,47273,yes,4444
46,62,213,31.7,11.6,824,2684.3,27.58,44039,yes,4444
46,62,214,24.9,7.9,167,2819.6,7.53,8354,yes,4444
46,62,215,24.5,7.7,167,2954.9,6.8,10515,yes,4444
46,62,216,17.6,4,26,2975.9,3.34,3260,yes,4444
46,62,217,20.5,5.6,55,3020.5,3.32,3787,yes,4444
48,65,177,0.8,0,1,0.8,0,0,no,4444
49,66,240,0.3,0,1,0.8,0,0,no,4444
50,66,285,26.5,8.7,1,0.8,0,0,no,4444
51,71,255,5.1,0,1,0.8,0,0,no,4444
52,74,272,0,0,1,0.8,0,0,no,4444
53,75,242,0.1,0,1,0.8,0,0,no,4444
54,75,262,20.1,5.3,1,0.8,0,0,no,4444
55,75,300,2.3,0,1,0.8,0,0,no,4444
56,76,227,12.5,1.3,1,0.8,0,0,no,4444
57,77,135,2.7,0,1,0.8,0,0,no,4444
58,83,207,16.9,3.7,9,7.3,4.54,2154,no,5555
59,83,281,5,0,1,0.8,0,0,no,5555
60,85,249,39.7,15.8,230,186.3,26.57,29454,no,5555
60,85,250,31.4,11.4,86,256,12.38,8591,yes,5555
60,85,251,30.6,11,242,452,10.54,11508,yes,5555
60,85,252,36.3,14,896,1177.7,15.6,15390,yes,5555
60,85,253,18.1,4.3,18,1192.3,2.14,1701,yes,5555
60,85,254,19.4,5,37,1222.3,3.71,1389,yes,5555
60,85,255,26.8,8.9,397,1543.9,7.51,7856,yes,5555
60,85,256,36.6,14.2,1399,2677.1,15.79,19909,yes,5555
60,85,257,26.6,8.8,33,2703.8,7.46,6730,yes,5555
61,90,215,20.9,5.8,11,8.9,3.37,1936,no,5555
61,90,216,23.5,7.1,23,27.5,4.72,4486,yes,5555
62,91,215,15.5,2.9,1,0.8,0,0,no,5555
63,92,180,0,0,1,0.8,0,0,no,5555
